EXCHANGE DATE,AFIN,AINM,ALLI,AMMB,ANCR,APES,BIMB,BMYS,CIMB,ECMI,ELKD,HLBB,HLCB,INSS,JHHS,KCDS,KNNK,LOND,MAAS,MBBM,MBSS,MNLF,MNRB,MPHB,PACO,PUBM,REDI,RHBC,TAKA,TUNE
1/1/2020,1.9,16.28,2.63,3.91,14.14,0.8,3.156,6.09,5.15,0.27,1.65,17.3,16.9,0.815,0.068,1.7,0.45,15.1,0.78,8.64,0.83,2.48,1.12,1.05,0.96,3.888,0.825,5.78,5.7,0.565
2/1/2020,1.89,16.6,2.62,3.94,14,0.8,3.142,6.09,5.2,0.27,1.66,17.3,17.12,0.825,0.068,1.68,0.45,15.16,0.76,8.75,0.84,2.48,1.11,1.04,0.955,3.98,0.825,5.74,5.68,0.565
3/1/2020,1.9,16.9,2.64,3.92,14,0.8,3.199,6.15,5.22,0.27,1.66,17.44,17.52,0.835,0.068,1.68,0.45,15.26,0.77,8.75,0.845,2.48,1.1,1.07,0.955,3.992,0.825,5.75,5.65,0.575
6/1/2020,1.89,16.72,2.6,3.83,14,0.8,3.192,6.08,5.22,0.275,1.67,17.6,17.68,0.84,0.072,1.66,0.45,15.44,0.77,8.65,0.835,2.43,1.1,1.07,0.955,3.98,0.82,5.74,5.6,0.57
7/1/2020,1.9,16.34,2.62,3.83,13.9,0.8,3.149,6.11,5.29,0.265,1.66,17.66,17.44,0.855,0.068,1.73,0.465,15.3,0.77,8.65,0.835,2.43,1.1,1.08,0.96,4.024,0.825,5.93,5.63,0.575
8/1/2020,1.88,15.8,2.58,3.8,13.62,0.78,3.142,6.06,5.17,0.265,1.65,17.56,17,0.845,0.068,1.69,0.445,15.04,0.76,8.54,0.825,2.43,1.09,1.06,0.95,3.92,0.815,5.84,5.63,0.555
9/1/2020,1.88,15.72,2.58,3.88,13.86,0.78,3.127,6.06,5.24,0.28,1.64,17.56,17.44,0.875,0.072,1.69,0.45,15.32,0.75,8.65,0.83,2.43,1.09,1.06,0.95,3.912,0.835,5.79,5.65,0.56
10/1/2020,1.9,15.34,2.59,3.89,13.8,0.78,3.156,6.11,5.2,0.255,1.66,17.56,17.28,0.88,0.072,1.7,0.445,15.14,0.75,8.65,0.83,2.43,1.09,1.05,0.95,3.908,0.86,5.85,5.79,0.56
13/1/2020,1.89,15.68,2.58,3.91,13.5,0.78,3.156,6.06,5.2,0.255,1.65,17.2,17.16,0.875,0.072,1.7,0.45,15.04,0.76,8.65,0.825,2.43,1.08,1.05,0.955,3.844,0.86,5.85,5.77,0.56
14/1/2020,1.9,15.9,2.58,3.85,13.5,0.78,3.156,6.06,5.18,0.255,1.66,16.84,16.94,0.88,0.068,1.68,0.455,15.04,0.76,8.65,0.83,2.43,1.09,1.05,0.95,3.828,0.865,5.82,5.73,0.565
15/1/2020,1.9,15.9,2.58,3.91,13.64,0.8,3.156,6.06,5.18,0.255,1.66,16.86,16.98,0.88,0.068,1.72,0.445,15.1,0.765,8.6,0.83,2.42,1.08,1.06,0.95,3.912,0.855,5.81,5.7,0.57
16/1/2020,1.88,15.98,2.57,3.9,13.42,0.8,2.998,6.05,5.17,0.255,1.65,16.96,16.98,0.885,0.068,1.7,0.45,15.08,0.765,8.61,0.825,2.42,1.09,1.07,0.95,3.912,0.85,5.81,5.11,0.565
